"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"SMA_Molex_73251-2200_Horizontal";1;"Conn_Coaxial";;;
2;"J1";"SMA_Molex_73251-2200_Horizontal";1;"TX_IN";;;
3;"C1";"C_0805_2012Metric";1;"100n";;;
4;"Q3";"TO-220-3_Horizontal_TabDown_SMD";1;"MRF101BN";;;
5;"R1,R4,R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"100R";;;
6;"U2";"Diodes_PSOP-8";1;"LM358";;;
7;"C8,C7,C19,C23,C9,C5,C3,C2,C20,C10,C29,C13,C6,C18,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";15;"100n";;;
8;"L1,L6";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";2;"L_Core_Ferrite_Small";;;
9;"C12,C24";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1u";;;
10;"L4";"L_1812_4532Metric";1;"Ferrite Bead 742792514";;;
11;"C14,C15,C17,C16";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";4;"100n";;;
12;"C26";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1n";;;
13;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"240R";;;
14;"IC1";"SO-8_5.3x6.2mm_P1.27mm";1;"ACHS-7123";;;
15;"R18,R16,R17,R19";"R_1206_3216Metric";4;"TBD";;;
16;"C25";"CP_Elec_10x14.3";1;"22u/63V";;;
17;"TR1";"Mini-Circuits_CD542_H2.84mm";1;"ADT4-1WT";;;
18;"D1";"D_MELF";1;"BAT54J";;;
19;"C11";"C_1210_3225Metric";1;"TBD";;;
20;"H3,H4,H1,H2";"MountingHole_3.2mm_M3";4;"MH";;;
21;"D3,D4";"D_0805_2012Metric";2;"CDSOD323-T03CT-NO";;;
22;"C21";"CP_Elec_16x17.5";1;"560u/63V";;;
23;"R10,R12,R11";"R_1210_3225Metric";3;"4R7/1W";;;
24;"L5";"L_1812_4532Metric";1;"1 T";;;
25;"C27,C28";"C_0805_2012Metric";2;"100nH";;;
26;"J3";"PinHeader_1x03_P2.54mm_Horizontal";1;"Conn_01x03_Male";;;
27;"RV3";"Potentiometer_Bourns_3214G_Horizontal";1;"1K";;;
28;"RV1,RV2";"Potentiometer_Bourns_3214G_Horizontal";2;"5K";;;
29;"Q2";"TO-220-3_Horizontal_TabDown_SMD";1;"MRF101AN";;;
30;"D2";"D_0603_1608Metric";1;"5.1V";;;
31;"J4";"PinHeader_1x04_P2.54mm_Horizontal";1;"3-647630-4";;;
32;"TLT2,TLT1";"TLT_94_3";2;"TLT";;;
33;"U1";"TO-263-3_TabPin2";1;"TL783CKTT";;;
34;"R6,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1R";;;
35;"Q1";"SOT-23";1;"ISS55EP06LMXTSA1";;;
36;"R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"27K";;;
37;"R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1K";;;
38;"C22";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10u";;;
39;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
40;"R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10K";;;
41;"R2";"R_2512_6332Metric";1;"12R/2W";;;
42;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"82R";;;
43;"L3";"FT_50_1";1;"L_Core_Iron";;;
44;"L2";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";1;"FB";;;
